smiles,jtvae_Id_0,jtvae_Id_1,jtvae_Id_2,jtvae_Id_3,jtvae_Id_4,jtvae_Id_5,jtvae_Id_6,jtvae_Id_7,jtvae_Id_8,jtvae_Id_9,jtvae_Id_10,jtvae_Id_11,jtvae_Id_12,jtvae_Id_13,jtvae_Id_14,jtvae_Id_15,jtvae_Id_16,jtvae_Id_17,jtvae_Id_18,jtvae_Id_19,jtvae_Id_20,jtvae_Id_21,jtvae_Id_22,jtvae_Id_23,jtvae_Id_24,jtvae_Id_25,jtvae_Id_26,jtvae_Id_27,jtvae_Id_28,jtvae_Id_29,jtvae_Id_30,jtvae_Id_31,jtvae_Id_32,jtvae_Id_33,jtvae_Id_34,jtvae_Id_35,jtvae_Id_36,jtvae_Id_37,jtvae_Id_38,jtvae_Id_39,jtvae_Id_40,jtvae_Id_41,jtvae_Id_42,jtvae_Id_43,jtvae_Id_44,jtvae_Id_45,jtvae_Id_46,jtvae_Id_47,jtvae_Id_48,jtvae_Id_49,jtvae_Id_50,jtvae_Id_51,jtvae_Id_52,jtvae_Id_53,jtvae_Id_54,jtvae_Id_55
COC1=CC=CC=C1OCC(O)COC(N)=O,4.223690032958984,2.521355152130127,-0.08573837578296661,1.4420307874679565,-0.6815513968467712,1.4221630096435547,-2.3720505237579346,-1.82705557346344,0.17628662288188934,-1.4382679462432861,-1.2005051374435425,1.440183401107788,0.6726495027542114,-2.289010524749756,-5.136709213256836,-2.40826416015625,0.47193554043769836,0.13096249103546143,3.379775047302246,0.7318243980407715,-0.39205676317214966,-1.1901599168777466,-2.9031970500946045,0.6607464551925659,-1.317622423171997,-0.18257388472557068,2.4660873413085938,-1.1155377626419067,0.07524281740188599,-0.5403770208358765,-0.43740928173065186,-0.17415054142475128,0.36951032280921936,-0.7258389592170715,-0.02621086686849594,0.5175665020942688,-0.008152641355991364,-0.4954507648944855,-0.30412715673446655,0.0066492557525634766,-0.03707557171583176,0.4010674059391022,-0.458280086517334,-0.055665746331214905,-0.2060662806034088,-0.5122005939483643,0.5188847780227661,-0.2341361790895462,0.07537142932415009,0.25185343623161316,0.06604188680648804,-0.09601626545190811,-0.10531729459762573,0.29746195673942566,0.1372891068458557,0.3983727991580963
CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,-0.7425690293312073,-0.6103127002716064,-3.694392442703247,2.4323008060455322,4.841236591339111,2.7268123626708984,-1.8637934923171997,1.6671403646469116,-1.2825459241867065,-1.0630971193313599,0.5039806365966797,2.228126287460327,-1.891027808189392,-0.30177590250968933,-1.4280292987823486,0.2373267114162445,-0.2703138291835785,1.0706466436386108,-1.9135212898254395,-0.571434736251831,-0.3696057200431824,-0.3402866721153259,2.813056707382202,0.49267497658729553,3.9656198024749756,-0.46541494131088257,0.1420350819826126,-4.8525590896606445,-0.1594279259443283,-0.2882498800754547,0.1607488989830017,0.18560481071472168,0.9854841232299805,-0.4552474915981293,0.4622562527656555,0.566710889339447,-0.11223393678665161,0.033301062881946564,-0.21605899930000305,0.09598041325807571,0.1873277723789215,0.012815728783607483,0.11570324003696442,0.4640006422996521,-0.13817617297172546,-0.6312739849090576,0.03008810430765152,-0.19957469403743744,-0.116385817527771,-0.4370684325695038,-0.25935518741607666,0.05388902872800827,-0.20672765374183655,-0.012270331382751465,-0.26219043135643005,0.0024777501821517944
CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,2.646458625793457,4.83617639541626,-6.921407222747803,-5.351968765258789,4.088590621948242,-0.7739893794059753,-2.458188533782959,0.25851768255233765,-4.124749183654785,-0.18789348006248474,0.3848755657672882,0.8929001092910767,1.8396209478378296,-4.632637023925781,-0.34129664301872253,-6.373624324798584,3.572826623916626,-1.2953497171401978,2.238595724105835,-1.568933129310608,-0.537703275680542,2.5430030822753906,-1.4818609952926636,-0.4748411774635315,4.018883228302002,0.7274527549743652,-0.7244255542755127,-0.7407950162887573,0.8037176132202148,-0.32852283120155334,0.2435579001903534,-0.31797707080841064,-4.190892696380615,-0.40775227546691895,0.46208781003952026,0.13329628109931946,0.09039339423179626,0.278828501701355,0.17989280819892883,-0.25055399537086487,0.06676367670297623,0.051481932401657104,0.0889793336391449,0.7135542035102844,0.014184530824422836,-0.2965373992919922,0.45462456345558167,-0.12448715418577194,0.08009675145149231,0.15021362900733948,0.13133737444877625,-0.8103621006011963,0.2087632417678833,0.28829893469810486,0.03556181117892265,0.18948636949062347
COC1=CC(C(O)C(C)N)=C(OC)C=C1,-0.15725292265415192,-0.37199530005455017,-0.6658995151519775,-0.08590374886989594,-1.0688973665237427,0.9930695295333862,-1.3890917301177979,-2.074101686477661,0.03487265855073929,-2.3381896018981934,-2.914637804031372,1.3821561336517334,1.9829163551330566,-1.5898091793060303,-4.895884037017822,-2.6294517517089844,-0.5275481939315796,-1.7434628009796143,0.34025144577026367,-1.242836594581604,1.4184553623199463,0.514496922492981,-2.0077953338623047,1.8508923053741455,1.415622353553772,-0.877534031867981,1.9174833297729492,0.7797018885612488,-0.006505802273750305,-0.452914834022522,0.5635619163513184,0.2533318102359772,0.49639180302619934,0.14450310170650482,0.1189904734492302,0.18071725964546204,-0.15880367159843445,-0.35005825757980347,0.13844333589076996,-0.2519138753414154,0.32390540838241577,0.5235393643379211,0.1508532017469406,-0.0037467479705810547,-0.23162835836410522,0.103496253490448,0.2861626446247101,0.3620668649673462,-0.35802701115608215,-0.05361160635948181,-0.1106005311012268,-0.17810212075710297,-0.2923698127269745,0.4206860363483429,-0.12172649800777435,0.4018089771270752
COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,0.035645730793476105,-2.4412012100219727,0.7573577761650085,3.9014410972595215,-0.9586248993873596,-1.7287651300430298,-2.463533639907837,1.8992245197296143,1.1615008115768433,-1.5309090614318848,-2.1054205894470215,1.7944121360778809,1.2349244356155396,-0.030348680913448334,-1.5734941959381104,-0.30549031496047974,1.1583325862884521,-0.7319088578224182,-1.2192522287368774,0.2703588306903839,1.790978193283081,-1.2727961540222168,-0.6046847105026245,1.6015065908432007,-2.1838183403015137,-2.228919506072998,2.7282702922821045,1.999017357826233,0.4542839229106903,-1.1382731199264526,1.3762874603271484,-0.440824031829834,0.9027740955352783,-0.6713539361953735,-0.646577775478363,0.11092332750558853,-0.7193651795387268,-0.7697839140892029,0.7254620790481567,-0.4943464994430542,0.3832155168056488,0.8013080954551697,-0.1970953643321991,0.11361847817897797,-0.6086412072181702,0.016061127185821533,0.7196820974349976,-0.305698037147522,0.09195888042449951,0.7123782634735107,-0.35929208993911743,-0.18802183866500854,-0.5057671070098877,0.2753771245479584,-0.019493136554956436,-0.9437040090560913
COC(F)(F)C(Cl)Cl,0.29648834466934204,-1.7867966890335083,1.0581051111221313,0.466133713722229,-2.8435463905334473,-0.05631702393293381,-1.481441855430603,-0.07476756721735,-0.3242194950580597,-1.6111854314804077,-2.0026626586914062,2.9841578006744385,-1.0945342779159546,0.4256816804409027,-3.0235369205474854,0.3501756191253662,-2.842857837677002,-0.8455588817596436,-0.3837628662586212,0.6187232732772827,0.2321743369102478,-4.688305377960205,-4.007516384124756,0.35943111777305603,2.238934278488159,-3.7961130142211914,0.6105192303657532,0.6918866038322449,-0.12684248387813568,-0.060577765107154846,0.06098887324333191,0.31584224104881287,1.8288859128952026,-0.9482786655426025,-0.2959122061729431,0.43626317381858826,-0.18934586644172668,-0.23496100306510925,-0.0295075885951519,-0.6842053532600403,0.34808820486068726,0.23763425648212433,-0.049635425209999084,0.2682942748069763,0.44187790155410767,-0.4822198748588562,0.32741010189056396,-0.08186541497707367,-0.504004955291748,0.09356999397277832,-0.08004941046237946,0.41687604784965515,-0.3237236440181732,-0.1798265278339386,-0.187669038772583,0.3234226703643799
CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,0.4901301860809326,-3.511711359024048,-1.788972020149231,1.9469736814498901,-1.2680509090423584,0.9880470037460327,-2.7008426189422607,3.1785221099853516,2.3919429779052734,-1.2139002084732056,-0.6999613642692566,2.59991192817688,0.6754631996154785,0.23666051030158997,2.422893762588501,1.985715627670288,-3.359955072402954,-0.46901002526283264,1.703065037727356,-0.3222710192203522,2.190227746963501,-2.684770107269287,-1.0094581842422485,2.6459782123565674,0.11135561764240265,1.9270299673080444,-0.3046300411224365,0.8510478138923645,0.16802683472633362,-0.41705796122550964,0.03995349258184433,-0.08911319822072983,1.1068899631500244,-0.22660104930400848,0.32556191086769104,0.5467833876609802,0.025027703493833542,-0.12639698386192322,-0.27318042516708374,0.03571643680334091,0.4681497812271118,0.670720636844635,-0.33096224069595337,0.09976562857627869,-0.29881611466407776,-0.21703709661960602,0.285090833902359,-0.057331331074237823,-0.38797876238822937,-0.08671122789382935,0.19578784704208374,-0.3631035387516022,-0.19735164940357208,-0.05439478158950806,0.03683673217892647,0.11666914820671082
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,-1.7582074403762817,-1.0661481618881226,-0.34469980001449585,-2.2478225231170654,0.570911169052124,-0.4163002669811249,-2.750269889831543,-0.8876151442527771,2.0934510231018066,1.3213920593261719,-0.7701451778411865,2.024609088897705,2.7803313732147217,-1.0109643936157227,-2.2011940479278564,-0.12138882279396057,-5.390894412994385,-2.1280486583709717,-2.008364677429199,3.385599374771118,1.3514420986175537,-3.8258767127990723,-2.422527551651001,-2.1094861030578613,0.891352653503418,-1.1364190578460693,-1.3575776815414429,-1.8454219102859497,0.19775956869125366,-1.236875295639038,0.174818217754364,-0.0822206437587738,0.19773145020008087,0.0037619546055793762,0.528544008731842,0.3886728882789612,0.48374515771865845,-0.09966915100812912,-0.12734591960906982,-0.13380426168441772,-0.20934242010116577,0.5838121175765991,-0.14384211599826813,0.39523911476135254,0.05456400662660599,0.2358005940914154,0.4229987561702728,-0.20786140859127045,-0.5851505398750305,0.314800888299942,-0.35551512241363525,-0.475696325302124,-0.3102206289768219,0.03965383023023605,-0.12137387692928314,0.010252043604850769
COC(=O)CCC(=O)CN,-0.5809735655784607,1.025688886642456,-1.5000605583190918,1.2358043193817139,-0.0538632795214653,1.5711654424667358,-2.649594306945801,-0.7535066604614258,-2.278043508529663,-3.335847854614258,2.4466300010681152,3.69746994972229,0.07912492752075195,1.045724868774414,-3.4736452102661133,1.0379350185394287,-1.6359703540802002,2.0538687705993652,0.7348142862319946,0.6023053526878357,0.7324336767196655,-1.63973069190979,0.95951247215271,-0.5189782381057739,1.765419840812683,1.9484645128250122,-0.8591623902320862,1.2793585062026978,0.35840606689453125,-0.4145834147930145,0.31693488359451294,-0.010626990348100662,-0.257686585187912,-0.424953430891037,0.240562304854393,0.4465373158454895,0.16399553418159485,-0.3476666212081909,-0.02573534846305847,-0.3536930978298187,0.06687186658382416,0.4329139292240143,-0.3351614475250244,0.4235709309577942,0.0926847979426384,-0.35241252183914185,0.4700589179992676,0.02924756333231926,-0.41378921270370483,0.23983383178710938,0.059177935123443604,-0.3578058183193207,-0.22481602430343628,0.08217338472604752,-0.08610551804304123,0.24518951773643494
C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O,-3.323744297027588,-0.688037097454071,-3.1714186668395996,-1.0383957624435425,-0.6012036800384521,0.6760210394859314,-4.6449666023254395,-0.9841704368591309,-0.8286133408546448,-1.1518419981002808,-1.3381593227386475,0.9288732409477234,2.451786756515503,-3.359229803085327,-3.0408899784088135,-4.251701831817627,-2.636608839035034,2.239717483520508,0.9603706002235413,-1.505470871925354,0.5380256175994873,0.4015084505081177,2.3732593059539795,2.339155435562134,1.8133472204208374,-2.766479015350342,0.41946667432785034,0.6947684288024902,-1.4049185514450073,-0.4763433337211609,0.4363963007926941,-0.19127444922924042,6.147568702697754,0.15023136138916016,0.3306220769882202,0.09058161079883575,0.08678512275218964,-0.054201360791921616,-0.27912476658821106,-0.024049893021583557,-0.1806412786245346,0.27148836851119995,-0.25606799125671387,0.3588165044784546,0.0040223971009254456,-0.04152143746614456,-0.21593284606933594,-0.20434311032295227,-0.5694335699081421,-0.04921674728393555,-0.5094159245491028,1.2229162454605103,-0.4811466336250305,0.3620716631412506,-0.3125087320804596,-0.3585052192211151
